2104.88015 14.378  0.003 11 40 A
2112.92050 14.396  0.003 11 40 A
2115.89654 14.391  0.003 11 40 A
2116.92441 14.402  0.003 11 40 A
2117.88280 14.393  0.003 11 40 A
2122.86443 14.397  0.003 11 40 A
2123.87839 14.390  0.003 11 40 A
2124.93287 14.389  0.003 11 40 A
2128.87832 14.400  0.003 11 40 A
2130.81712 14.394  0.003 11 40 A
2131.81013 14.405  0.003 11 40 A
2132.85489 14.408  0.003 11 40 A
2133.86739 14.404  0.003 11 40 A
2134.86050 14.393  0.003 11 40 A
2135.89742 14.392  0.003 11 40 A
2136.90121 14.395  0.003 11 40 A
2140.86393 14.392  0.003 11 40 A
2141.77415 14.395  0.003 11 40 A
2142.87404 14.402  0.003 11 40 A
2143.88310 14.408  0.003 11 40 A
2144.79872 14.411  0.003 11 40 A
2156.72451 14.413  0.003 11 40 A
2160.80374 14.398  0.003 11 40 A
2162.81406 14.398  0.003 11 40 A
2166.80491 14.405  0.003 11 40 A
2167.73814 14.408  0.003 11 40 A
2168.76273 14.414  0.003 11 40 A
2173.75706 14.425  0.003 11 40 A
2174.74079 14.426  0.003 11 40 A
2177.68892 14.439  0.003 11 40 A
2184.75021 14.440  0.003 11 40 A
2186.73851 14.434  0.003 11 40 A
2187.65851 14.426  0.003 11 40 A
2189.74013 14.422  0.003 11 40 A
2190.74023 14.422  0.003 11 40 A
2191.64436 14.425  0.003 11 40 A
2192.70825 14.417  0.003 11 40 A
2193.73545 14.420  0.003 11 40 A
2200.71467 14.425  0.003 11 40 A
2203.60292 14.438  0.003 11 40 A
2206.65263 14.441  0.003 11 40 A
2208.69672 14.425  0.003 11 40 A
2211.70464 14.429  0.003 11 40 A
2214.69127 14.419  0.003 11 40 A
2215.72725 14.420  0.003 11 40 A
2217.68642 14.413  0.003 11 40 A
2219.72340 14.402  0.003 11 40 A
2222.77270 14.411  0.003 11 40 A
2223.67776 14.414  0.003 11 40 A
2228.60369 14.417  0.003 11 40 A
2230.54177 14.422  0.003 11 40 A
2232.55478 14.429  0.003 11  0 A
2234.59680 14.423  0.003 11 40 A
2236.58602 14.422  0.003 11 40 A
2239.53357 14.435  0.003 11 40 A
