2455347.92940 15.558 0.003 5.68 943.0
2455359.91627 15.569 0.004 6.40 412.0
2455364.93226 15.583 0.004 7.21 196.0
2455377.87584 15.609 0.003 5.87 454.0
2455379.88427 15.604 0.003 5.14 368.0
2455380.92878 15.599 0.003 6.35 295.0
2455381.93787 15.598 0.004 7.27 502.0
2455384.90367 15.588 0.004 6.82 395.0
2455385.95062 15.612 0.004 4.91 1649.0
2455387.87729 15.618 0.003 4.68 219.0
2455388.89362 15.609 0.003 5.73 174.0
2455389.90401 15.603 0.003 6.25 213.0
2455390.90663 15.607 0.003 5.98 203.0
2455392.88917 15.600 0.004 7.32 241.0
2455393.91976 15.600 0.004 6.94 292.0
2455395.90584 15.604 0.003 6.25 310.0
2455399.84456 15.604 0.003 5.68 310.0
2455400.89936 15.606 0.003 5.14 394.0
2455401.88864 15.616 0.004 8.11 469.0
2455403.88517 15.596 0.003 4.85 547.0
2455404.86697 15.601 0.003 4.99 463.0
2455405.87278 15.609 0.003 4.80 347.0
2455407.90608 15.613 0.004 7.72 317.0
2455408.89569 15.617 0.003 5.75 280.0
2455409.86472 15.604 0.003 5.87 211.0
2455410.86620 15.611 0.003 5.22 268.0
2455412.84744 15.609 0.003 6.39 261.0
2455414.84689 15.607 0.003 5.01 150.0
2455421.82254 15.606 0.003 5.40 160.0
2455425.91278 15.606 0.003 6.95 191.0
2455426.86727 15.603 0.003 5.03 189.0
2455427.90018 15.610 0.003 3.99 317.0
2455428.80295 15.604 0.003 5.19 318.0
2455430.78415 15.599 0.003 5.67 405.0
2455432.85600 15.571 0.003 5.73 558.0
2455433.83254 15.567 0.003 5.41 473.0
2455434.80333 15.556 0.003 5.25 390.0
2455435.79979 15.561 0.003 4.61 310.0
2455436.80924 15.556 0.003 4.72 284.0
2455437.85146 15.557 0.003 3.64 306.0
2455438.78659 15.552 0.003 4.77 230.0
2455439.77382 15.556 0.003 6.40 320.0
2455443.76604 15.563 0.003 6.03 149.0
2455444.77451 15.560 0.003 5.92 240.0
2455448.77625 15.568 0.003 5.00 198.0
2455454.76180 15.584 0.003 4.51 276.0
2455455.72765 15.598 0.003 4.82 268.0
2455456.79453 15.591 0.003 4.03 215.0
2455458.68761 15.595 0.003 4.85 331.0
2455459.68637 15.595 0.003 4.62 387.0
2455462.70075 15.589 0.003 6.17 454.0
2455464.70435 15.597 0.003 5.92 312.0
2455465.80165 15.584 0.004 7.40 397.0
2455468.64175 15.592 0.003 6.96 188.0
2455469.74531 15.593 0.003 4.41 330.0
2455470.71085 15.594 0.003 4.83 191.0
2455471.69387 15.595 0.003 5.64 176.0
2455472.70112 15.604 0.003 6.72 209.0
2455473.63619 15.598 0.003 6.00 186.0
2455475.82881 15.604 0.003 5.23 225.0
2455476.71930 15.596 0.003 4.99 263.0
2455477.68742 15.583 0.003 5.24 185.0
2455478.64624 15.598 0.003 5.25 217.0
2455480.65342 15.594 0.003 5.97 237.0
2455481.63024 15.594 0.003 7.16 227.0
2455482.64546 15.599 0.004 7.99 261.0
2455483.62099 15.602 0.004 7.61 285.0
2455484.64792 15.592 0.003 5.81 353.0
2455485.64788 15.602 0.004 6.91 260.0
2455486.61089 15.609 0.003 5.51 394.0
2455488.61051 15.595 0.003 4.49 499.0
2455489.63306 15.595 0.003 5.30 414.0
2455490.63001 15.590 0.003 5.15 489.0
2455491.61145 15.594 0.004 6.42 600.0
2455492.62966 15.601 0.003 5.59 519.0
2455493.61958 15.596 0.003 5.42 451.0
2455496.62881 15.597 0.004 7.64 395.0
2455497.60262 15.599 0.003 6.19 331.0
2455498.61044 15.599 0.004 7.65 264.0
2455499.62096 15.594 0.003 6.14 229.0
2455502.55769 15.594 0.003 5.04 230.0
2455503.60342 15.590 0.003 5.28 230.0
2455504.65535 15.597 0.003 3.98 277.0
2455505.60356 15.600 0.003 5.37 346.0
2455506.54484 15.595 0.003 6.19 356.0
2455507.59016 15.594 0.003 5.18 261.0
2455508.57299 15.579 0.003 6.48 256.0
2455509.56653 15.592 0.003 5.27 300.0
2455510.61036 15.599 0.003 5.59 249.0
2455511.59506 15.603 0.003 6.07 253.0
2455512.59899 15.593 0.003 5.20 255.0
2455513.58337 15.597 0.003 6.56 302.0
2455514.64394 15.592 0.003 4.51 345.0
2455515.58562 15.602 0.004 7.59 329.0
2455516.59188 15.596 0.003 5.90 283.0
2455517.57121 15.599 0.003 5.62 348.0
2455518.58298 15.591 0.003 6.16 336.0
2455519.58039 15.589 0.004 6.81 416.0
2455521.58520 15.584 0.004 7.38 513.0
2455522.62585 15.569 0.003 3.96 1035.0
2455524.56099 15.550 0.003 5.43 331.0
2455526.52647 15.540 0.003 5.04 330.0
2455528.57001 15.532 0.003 4.86 274.0
2455529.55742 15.541 0.003 7.42 228.0
2455532.57111 15.556 0.003 4.48 244.0
2455533.56504 15.562 0.003 5.33 208.0
2455536.56803 15.535 0.003 4.95 262.0
2455539.59265 15.555 0.003 5.79 200.0
2455541.57367 15.562 0.003 7.00 206.0
2455542.56951 15.554 0.003 5.38 281.0
2455545.56665 15.563 0.003 5.61 347.0
2455546.56732 15.579 0.004 7.46 388.0
2455547.60608 15.570 0.003 5.80 383.0
2455550.62188 15.566 0.004 7.26 526.0
