3326.59553 15.021 0.004
3339.60295 15.036 0.004
3356.59728 15.015 0.004
3362.64462 14.996 0.004
3366.59003 15.019 0.004
3370.60866 15.012 0.004
3374.61557 15.015 0.004
3652.74404 15.007 0.004
3652.75641 15.018 0.004
3656.66589 15.002 0.004
3656.67826 15.016 0.005
3663.65678 15.003 0.004
3663.66912 15.018 0.004
3665.68503 14.991 0.004
3665.69738 15.017 0.004
3672.71621 14.991 0.004
3672.72856 14.999 0.004
3683.66691 14.990 0.004
3683.67923 15.012 0.004
3688.64540 14.986 0.004
3688.65773 15.017 0.004
3695.65929 14.980 0.004
3695.67159 15.003 0.004
3704.63267 14.995 0.004
3704.64499 14.990 0.004
3712.61176 14.991 0.004
3712.62408 14.999 0.004
3718.57579 14.975 0.004
3718.58807 14.991 0.004
3728.57993 14.987 0.004
3728.59222 14.997 0.004
3980.83120 14.885 0.004
3980.84337 14.929 0.004
4020.76065 14.899 0.004
4020.77892 14.924 0.004
4027.67580 14.893 0.004
4027.68799 14.919 0.004
4031.65236 14.895 0.004
4031.66458 14.932 0.004
4038.59021 14.896 0.004
4038.60244 14.932 0.004
4042.57919 14.916 0.004
4042.59138 14.943 0.004
4047.55043 14.902 0.004
4047.56267 14.928 0.004
4052.57776 14.909 0.004
4052.58994 14.940 0.004
4059.54981 14.907 0.004
4059.56194 14.928 0.004
4068.54116 14.920 0.004
4068.55333 14.935 0.004
4074.59884 14.913 0.004
4074.61101 14.930 0.004
4082.56396 14.898 0.004
4082.57613 14.931 0.004
4105.59477 14.935 0.004
4105.60693 14.938 0.004
4355.69959 15.162 0.005
4367.65054 15.212 0.005
4369.65680 15.216 0.005
4369.66899 15.200 0.004
4373.68654 15.205 0.004
4373.69873 15.208 0.004
4382.72377 15.224 0.004
4382.73600 15.240 0.004
4393.70174 15.221 0.004
4393.71397 15.242 0.004
4397.63893 15.217 0.004
4397.65110 15.244 0.004
4406.64378 15.266 0.005
4407.67085 15.256 0.004
4415.64802 15.247 0.004
4415.66025 15.263 0.004
4418.63317 15.291 0.004
4418.64533 15.287 0.004
4426.57265 15.294 0.005
4426.58485 15.301 0.005
4428.63490 15.290 0.005
4428.64709 15.289 0.004
4435.65470 15.295 0.004
4435.66689 15.302 0.004
4443.54903 15.313 0.005
4443.56126 15.307 0.004
4454.54464 15.326 0.005
4454.55680 15.303 0.004
4708.76137 15.423 0.004
4708.77357 15.423 0.004
4724.72291 15.406 0.005
4724.73512 15.431 0.004
4755.71534 15.416 0.005
4755.72753 15.408 0.004
4759.71385 15.417 0.004
4759.72600 15.410 0.004
4767.61535 15.401 0.004
4767.62752 15.405 0.004
4774.57632 15.424 0.004
4774.58853 15.416 0.004
4780.53864 15.410 0.005
4780.55081 15.403 0.004
4795.58832 15.418 0.004
4795.60048 15.400 0.004
4808.62853 15.456 0.004
4809.54634 15.421 0.004
4809.64261 15.389 0.004
4810.54691 15.412 0.004
4811.57227 15.392 0.004
4812.64028 15.424 0.005
4813.57278 15.399 0.004
4844.53557 15.456 0.004
4847.59467 15.414 0.004
4849.54548 15.413 0.004
4849.64851 15.406 0.004
4850.58024 15.429 0.004
4850.64324 15.431 0.004
4948.91736 15.433 0.004
4954.92152 15.437 0.004
