2455260.62283 14.594 0.003 5.46 430.0
2455261.53765 14.592 0.003 5.20 385.0
2455262.60438 14.603 0.003 6.03 355.0
2455264.56808 14.595 0.003 4.51 364.0
2455265.50185 14.593 0.003 5.47 896.0
2455266.56678 14.598 0.003 6.74 316.0
2455267.54814 14.607 0.003 5.61 560.0
2455268.62268 14.598 0.003 5.57 482.0
2455269.53209 14.614 0.003 5.67 482.0
2455271.54088 14.620 0.003 3.83 384.0
2455272.55805 14.613 0.003 7.40 314.0
2455273.53003 14.611 0.003 6.06 318.0
2455274.56115 14.620 0.003 5.75 439.0
2455276.54022 14.622 0.003 4.36 382.0
2455279.52840 14.608 0.003 6.91 448.0
2455281.50381 14.580 0.003 4.83 540.0
2455282.52253 14.594 0.003 4.20 632.0
2455283.53862 14.620 0.003 5.38 742.0
2455284.54198 14.627 0.003 4.31 827.0
2455285.54355 14.618 0.003 5.25 1065.0
2455287.53271 14.612 0.003 5.89 716.0
2455289.51309 14.583 0.003 6.38 375.0
2455292.55376 14.622 0.003 6.08 505.0
2455294.53657 14.622 0.003 4.91 506.0
2455297.50475 14.625 0.003 5.96 331.0
2455299.50222 14.638 0.003 5.98 491.0
2455304.49640 14.649 0.003 6.25 536.0
2455307.49182 14.646 0.003 5.38 453.0
2455310.47343 14.622 0.003 5.75 724.0
2455312.50576 14.617 0.003 6.23 773.0
2455315.48124 14.639 0.003 5.01 1085.0
2455323.46704 14.632 0.003 4.50 883.0
2455325.46072 14.647 0.003 6.15 1279.0
2455327.46062 14.637 0.003 5.08 1118.0
2455335.45529 14.648 0.003 5.84 1682.0
2455342.46817 14.638 0.003 6.50 1147.0
2455343.47920 14.635 0.003 6.19 1333.0
2455429.93083 14.656 0.003 4.88 1550.0
2455430.88264 14.668 0.003 6.51 610.0
2455439.89204 14.611 0.003 5.47 490.0
2455444.87413 14.628 0.003 6.42 409.0
2455449.87882 14.648 0.003 5.60 286.0
2455451.88786 14.649 0.003 7.05 442.0
2455454.87356 14.665 0.003 5.19 276.0
2455456.89927 14.665 0.003 4.49 293.0
2455457.88160 14.653 0.003 3.81 262.0
